"Odseljeni zaposleni prebivalci po dejavnosti, spolu in državljanstvu, Slovenija, letno"

"LETO";"DRŽAVLJANSTVO";"SPOL";"DEJAVNOST";Odseljeni zaposleni prebivalci
"2017";"Državljani RS";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";10
"2017";"Državljani RS";"Moški";"Gradbeništvo";211
"2017";"Državljani RS";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";137
"2017";"Državljani RS";"Moški";"Promet in skladišèenje";108
"2017";"Državljani RS";"Moški";"Gostinstvo";82
"2017";"Državljani RS";"Moški";"Informacijske in komunikacijske dejavnosti";107
"2017";"Državljani RS";"Moški";"Finanène in zavarovalniške dejavnosti";15
"2017";"Državljani RS";"Moški";"Poslovanje z nepremièninami";12
"2017";"Državljani RS";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";151
"2017";"Državljani RS";"Moški";"Druge raznovrstne poslovne dejavnosti";87
"2017";"Državljani RS";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";132
"2017";"Državljani RS";"Moški";"Izobraževanje";59
"2017";"Državljani RS";"Moški";"Zdravstvo in socialno varstvo";44
"2017";"Državljani RS";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";48
"2017";"Državljani RS";"Moški";"Druge dejavnosti";12
"2017";"Državljani RS";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";2
"2017";"Državljani RS";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2017";"Državljani RS";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";10
"2017";"Državljani RS";"Ženske";"Rudarstvo";1
"2017";"Državljani RS";"Ženske";"Predelovalne dejavnosti";116
"2017";"Državljani RS";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";2
"2017";"Državljani RS";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";5
"2017";"Državljani RS";"Ženske";"Gradbeništvo";29
"2017";"Državljani RS";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";151
"2017";"Državljani RS";"Ženske";"Promet in skladišèenje";25
"2017";"Državljani RS";"Ženske";"Gostinstvo";89
"2017";"Državljani RS";"Ženske";"Informacijske in komunikacijske dejavnosti";26
"2017";"Državljani RS";"Ženske";"Finanène in zavarovalniške dejavnosti";18
"2017";"Državljani RS";"Ženske";"Poslovanje z nepremièninami";3
"2017";"Državljani RS";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";114
"2017";"Državljani RS";"Ženske";"Druge raznovrstne poslovne dejavnosti";85
"2017";"Državljani RS";"Ženske";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";87
"2017";"Državljani RS";"Ženske";"Izobraževanje";127
"2017";"Državljani RS";"Ženske";"Zdravstvo in socialno varstvo";127
"2017";"Državljani RS";"Ženske";"Kulturne, razvedrilne in rekreacijske dejavnosti";22
"2017";"Državljani RS";"Ženske";"Druge dejavnosti";21
"2017";"Državljani RS";"Ženske";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";0
"2017";"Državljani RS";"Ženske";"Dejavnost eksteritorialnih organizacij in teles";0
"2018";"Državljani RS";"Moški";"Kmetijstvo in lov, gozdarstvo, ribištvo";8
"2018";"Državljani RS";"Moški";"Rudarstvo";0
"2018";"Državljani RS";"Moški";"Predelovalne dejavnosti";215
"2018";"Državljani RS";"Moški";"Oskrba z elektrièno energijo, plinom in paro";0
"2018";"Državljani RS";"Moški";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";11
"2018";"Državljani RS";"Moški";"Gradbeništvo";126
"2018";"Državljani RS";"Moški";"Trgovina, vzdrževanje in popravila motornih vozil";104
"2018";"Državljani RS";"Moški";"Promet in skladišèenje";90
"2018";"Državljani RS";"Moški";"Gostinstvo";63
"2018";"Državljani RS";"Moški";"Informacijske in komunikacijske dejavnosti";82
"2018";"Državljani RS";"Moški";"Finanène in zavarovalniške dejavnosti";21
"2018";"Državljani RS";"Moški";"Poslovanje z nepremièninami";3
"2018";"Državljani RS";"Moški";"Strokovne, znanstvene in tehniène dejavnosti";79
"2018";"Državljani RS";"Moški";"Druge raznovrstne poslovne dejavnosti";55
"2018";"Državljani RS";"Moški";"Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti";70
"2018";"Državljani RS";"Moški";"Izobraževanje";54
"2018";"Državljani RS";"Moški";"Zdravstvo in socialno varstvo";33
"2018";"Državljani RS";"Moški";"Kulturne, razvedrilne in rekreacijske dejavnosti";39
"2018";"Državljani RS";"Moški";"Druge dejavnosti";9
"2018";"Državljani RS";"Moški";"Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo";0
"2018";"Državljani RS";"Moški";"Dejavnost eksteritorialnih organizacij in teles";0
"2018";"Državljani RS";"Ženske";"Kmetijstvo in lov, gozdarstvo, ribištvo";13
"2018";"Državljani RS";"Ženske";"Rudarstvo";1
"2018";"Državljani RS";"Ženske";"Predelovalne dejavnosti";105
"2018";"Državljani RS";"Ženske";"Oskrba z elektrièno energijo, plinom in paro";5
"2018";"Državljani RS";"Ženske";"Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja";4
"2018";"Državljani RS";"Ženske";"Gradbeništvo";14
"2018";"Državljani RS";"Ženske";"Trgovina, vzdrževanje in popravila motornih vozil";128
"2018";"Državljani RS";"Ženske";"Promet in skladišèenje";15
"2018";"Državljani RS";"Ženske";"Gostinstvo";67
"2018";"Državljani RS";"Ženske";"Informacijske in komunikacijske dejavnosti";17
"2018";"Državljani RS";"Ženske";"Finanène in zavarovalniške dejavnosti";10
"2018";"Državljani RS";"Ženske";"Poslovanje z nepremièninami";4
"2018";"Državljani RS";"Ženske";"Strokovne, znanstvene in tehniène dejavnosti";102
